vessel,Category,subcategory,length,beam,GT,DWT,year_built
MSC MARYLENA II,Container Ship,Container Ship,216,27,25219,18779,1998
MSC MIA SUMMER II,Container Ship,Container Ship,216,27,25219,18779,1999
MSC CAITLIN,Container Ship,Container Ship,216,27,25219,18779,1998
MSC EDITH II,Container Ship,Container Ship,216,27,25219,18779,1998
VIRA BHUM,Container Ship,Container Ship,194,32,25217,31300,2005
URU BHUM,Container Ship,Container Ship,195,32,25217,31805,2005
CAPE ORIENT,Container Ship,Container Ship,185,30,25165,25351,2016
OCEANIC FORTUNE,Tanker,Crude Oil Tanker,340,60,170618,320054,2010
OLYMPIC TROPHY,Tanker,Crude Oil Tanker,340,60,170611,320159,2010
OLYMPIC LEOPARD,Tanker,Crude Oil Tanker,340,60,170611,319368,2011
OLYMPIC TRUST,Tanker,Crude Oil Tanker,340,60,170611,319616,2010
OLYMPIC LION,Tanker,Crude Oil Tanker,340,60,170611,319540,2010
OLYMPIC TARGET,Tanker,Crude Oil Tanker,340,60,170611,319861,2011
OLYMPIC LUCK,Tanker,Crude Oil Tanker,340,60,169955,319106,2010
ATHERINA,Tanker,Crude Oil Tanker,340,60,169919,319471,2011
YUAN RUI YANG,Tanker,Crude Oil Tanker,333,60,169675,318451,2022
FSO UOTE 1,Tanker,Crude Oil Tanker,392,59,169435,298033,1993
TWIN POLLUX,Tanker,Crude Oil Tanker,332,60,167578,320701,2014
YONG LE,Tanker,Crude Oil Tanker,332,60,167572,320775,2014
XING YE,Tanker,Crude Oil Tanker,332,60,167572,320557,2014
SOLDIER,Tanker,Crude Oil Tanker,332,60,167572,320840,2013
YUAN HUA YANG,Tanker,Crude Oil Tanker,333,60,167168,319786,2020
YUAN GUI YANG,Tanker,Crude Oil Tanker,333,60,167168,319702,2020
YUAN FU YANG,Tanker,Crude Oil Tanker,333,60,167168,319668,2021
DHT LOTUS,Tanker,Crude Oil Tanker,332,60,167054,320142,2011
DHT PEONY,Tanker,Crude Oil Tanker,332,60,167054,320014,2011
NEW RENOWN,Tanker,Crude Oil Tanker,333,60,166639,318926,2017
C. INNOVATOR,Tanker,Crude Oil Tanker,333,60,166381,313999,2012
MILTIADIS JUNIOR,Tanker,Crude Oil Tanker,333,60,166308,320926,2014
HONG KONG SPIRIT,Tanker,Crude Oil Tanker,333,60,166231,318473,2013
DELTA APOLLONIA,Tanker,Crude Oil Tanker,333,60,166223,319725,2015
DELTA AIGAION,Tanker,Crude Oil Tanker,333,60,166223,319725,2014
DELTA AMAZON,Tanker,Crude Oil Tanker,333,60,166178,319896,2015
NEW COMFORT,Tanker,Crude Oil Tanker,333,60,166154,313999,2016
NEW COURAGE,Tanker,Crude Oil Tanker,333,60,166094,313992,2015
NEW ACHIEVEMENT,Tanker,Crude Oil Tanker,333,60,166094,313982,2015
NEW VOYAGE,Tanker,Crude Oil Tanker,333,60,166094,313990,2015
BOSTON,Tanker,Crude Oil Tanker,333,60,166093,299996,2012
DALIAN,Tanker,Crude Oil Tanker,333,60,166093,299981,2013
NEW PROSPERITY,Tanker,Crude Oil Tanker,333,60,165864,318329,2015
NEW TRIUMPH,Tanker,Crude Oil Tanker,333,60,165864,318517,2015
NEW DREAM,Tanker,Crude Oil Tanker,333,60,165864,318292,2014
DINO I,Tanker,Crude Oil Tanker,333,60,165784,319300,2012
DIONA,Tanker,Crude Oil Tanker,333,60,165784,319297,2013
DORENA,Tanker,Crude Oil Tanker,333,60,165784,319260,2012
NEW MERIT,Tanker,Crude Oil Tanker,333,60,165732,318348,2017
NEW HARMONY,Tanker,Crude Oil Tanker,333,60,165680,320391,2014
KAHLA,Tanker,Crude Oil Tanker,333,60,162160,317521,2009
C. PROGRESS,Tanker,Crude Oil Tanker,333,60,162044,313990,2012
YASA SCORPION,Tanker,Crude Oil Tanker,333,60,162044,313998,2013
C.INFINITY,Tanker,Crude Oil Tanker,333,60,162044,313990,2012
C.FREEDOM,Tanker,Crude Oil Tanker,333,60,162044,313998,2013
C.SPIRIT,Tanker,Crude Oil Tanker,333,60,162044,313998,2013
SEA LEOPARD,Tanker,Crude Oil Tanker,333,60,162037,314000,2011
KISOGAWA,Tanker,Crude Oil Tanker,340,60,162032,311831,2017
MARAN THETIS,Tanker,Crude Oil Tanker,333,60,162018,320105,2012
AMPHION,Tanker,Crude Oil Tanker,333,60,161983,298998,2019
AGITOS,Tanker,Crude Oil Tanker,333,60,161983,298998,2019
AMYNTAS,Tanker,Crude Oil Tanker,333,60,161983,320785,2019
EAGLE VARNA,Tanker,Crude Oil Tanker,333,60,161974,299989,2013
EAGLE VANCOUVER,Tanker,Crude Oil Tanker,333,60,161974,299989,2013
DILAM,Tanker,Crude Oil Tanker,333,60,161969,314000,2010
ARSAN,Tanker,Crude Oil Tanker,333,60,161969,314000,2010
TEDORIGAWA,Tanker,Crude Oil Tanker,340,60,161952,311790,2018
EAGLE VERONA,Tanker,Crude Oil Tanker,333,60,161833,320122,2013
EAGLE VERSAILLES,Tanker,Crude Oil Tanker,333,60,161833,299984,2013
C.PRIMACY,Tanker,Crude Oil Tanker,336,60,161830,313453,2010
PHOENIX VIGOR,Tanker,Crude Oil Tanker,333,60,160735,309887,2009
ENEOS GLORY,Tanker,Crude Oil Tanker,340,60,160723,312217,2019
IRIS,Tanker,Crude Oil Tanker,333,60,160716,318478,2012
ILMA,Tanker,Crude Oil Tanker,333,60,160716,318477,2012
INGRID,Tanker,Crude Oil Tanker,333,60,160716,314000,2012
TOWA MARU,Tanker,Crude Oil Tanker,340,60,160709,311028,2022
M.STAR,Tanker,Crude Oil Tanker,333,60,160705,313798,2008
KHK EMPRESS,Tanker,Crude Oil Tanker,333,60,160682,314014,2019
KHK MAJESTY,Tanker,Crude Oil Tanker,333,60,160682,314014,2019
AGIOS NIKOLAS,Tanker,Crude Oil Tanker,333,60,160655,318918,2019
DHT APPALOOSA,Tanker,Crude Oil Tanker,333,60,160655,319191,2018
PAPALEMOS,Tanker,Crude Oil Tanker,333,60,160655,319191,2018
IRINI N. LEMOS,Tanker,Crude Oil Tanker,333,60,160655,319191,2019
ESTEEM EXPLORER,Tanker,Crude Oil Tanker,340,60,160649,312135,2020
ELBHOFF,Tanker,Crude Oil Tanker,333,60,160636,300837,2017
HAKKAISAN,Tanker,Crude Oil Tanker,333,60,160632,309708,2009
GASSAN,Tanker,Crude Oil Tanker,333,60,160616,308209,2012
LIBRA TRADER,Tanker,Crude Oil Tanker,333,60,160601,310339,2010
GEORGIOS,Tanker,Crude Oil Tanker,333,60,160598,299999,2009
TANZAWA,Tanker,Crude Oil Tanker,340,60,160597,311374,2019
NEW DYNASTY,Tanker,Crude Oil Tanker,333,60,160066,299992,2003
SOLANA,Tanker,Crude Oil Tanker,333,60,160062,300976,2004
C. GRACE,Tanker,Crude Oil Tanker,333,60,160061,319202,2021
C.BRAVE,Tanker,Crude Oil Tanker,333,60,160061,319202,2021
EAGLE TRADER,Tanker,Crude Oil Tanker,340,60,160061,312424,2018
VL BREEZE,Tanker,Crude Oil Tanker,333,60,160061,319202,2022
BRIGHT HORIZON,Tanker,Crude Oil Tanker,340,60,160059,312395,2018
BRIGHT CREST,Tanker,Crude Oil Tanker,340,60,160047,312501,2019
NIOVI,Tanker,Crude Oil Tanker,333,58,160046,309164,2005
ELINE,Tanker,Crude Oil Tanker,333,58,160046,306999,2005
TENRYU,Tanker,Crude Oil Tanker,339,60,160008,312611,2019
PIS PIONEER,Tanker,Crude Oil Tanker,333,60,160007,303430,2004
MS MELENIA,Tanker,Crude Oil Tanker,333,60,160007,299998,2005
IDEMITSU MARU,Tanker,Crude Oil Tanker,333,60,159991,300433,2007
MARJAN,Tanker,Crude Oil Tanker,333,56,159990,302977,2002
ABIE,Tanker,Crude Oil Tanker,333,58,159990,302986,2002
JANET,Tanker,Crude Oil Tanker,333,58,159990,303115,2001
SAFWA,Tanker,Crude Oil Tanker,333,58,159990,303139,2002
ATLANTIC LOYALTY,Tanker,Crude Oil Tanker,333,58,159987,307284,2007
RAYAH,Tanker,Crude Oil Tanker,333,60,159970,318990,2021
FT ISLAND,Tanker,Crude Oil Tanker,334,58,157976,311189,1998
CHAMP,Tanker,Crude Oil Tanker,334,58,157976,311286,1998
ROZA,Tanker,Crude Oil Tanker,334,58,157883,309497,2000
LIGERA,Tanker,Crude Oil Tanker,332,58,157878,299222,2002
CROWN,Tanker,Crude Oil Tanker,334,58,157863,311176,1999
EUROHOPE,Tanker,Crude Oil Tanker,332,58,157844,306506,2007
DALMA,Tanker,Crude Oil Tanker,332,58,157844,306543,2007
TAMIA,Tanker,Crude Oil Tanker,332,58,157844,306507,2006
VORAS,Tanker,Crude Oil Tanker,332,58,157831,299089,2000
LEXIE,Tanker,Crude Oil Tanker,332,58,157831,298911,2001
ANITA,Tanker,Crude Oil Tanker,332,58,157831,299089,2000
MIRAME,Tanker,Crude Oil Tanker,332,58,157814,299450,2001
AURORA RILEY,Tanker,Crude Oil Tanker,332,58,157814,299325,2000
KITAKAZE,Tanker,Crude Oil Tanker,332,58,157814,299498,2001
INFINITY,Tanker,Crude Oil Tanker,332,58,157814,299543,2000
BUNGA KASTURI ENAM,Tanker,Crude Oil Tanker,330,60,157808,299319,2008
BUNGA KASTURI LIMA,Tanker,Crude Oil Tanker,330,60,157808,300246,2007
FRONT PRINCE,Tanker,Crude Oil Tanker,336,60,157613,301187,2017
MERCURY HOPE,Tanker,Crude Oil Tanker,330,60,157589,297221,2011
MERMAID HOPE,Tanker,Crude Oil Tanker,330,60,157589,297274,2011
ARZANAH,Tanker,Crude Oil Tanker,336,60,156673,299425,2023
HAFEET,Tanker,Crude Oil Tanker,336,60,156673,299425,2023
POLYMNIA I,Tanker,Crude Oil Tanker,330,60,156651,296812,2011
NAVE GALACTIC,Tanker,Crude Oil Tanker,330,60,156651,297168,2009
PLATA NORTH,Tanker,Crude Oil Tanker,330,60,156651,297936,2009
PLATA GLORY,Tanker,Crude Oil Tanker,330,60,156651,297974,2009
EVGENIA I,Tanker,Crude Oil Tanker,330,60,156651,296793,2011
FRONT VEFSNA,Tanker,Crude Oil Tanker,333,60,156517,297638,2017
NAVIGARE TERRA MATER,Tanker,Crude Oil Tanker,333,60,156517,297638,2017
FRONT VOSSO,Tanker,Crude Oil Tanker,333,60,156517,297363,2017
HELIOS,Tanker,Crude Oil Tanker,330,60,156471,302093,2022
UNIVERSAL CHALLENGER,Tanker,Crude Oil Tanker,336,60,156452,300300,2019
FRONT EAGLE,Tanker,Crude Oil Tanker,336,60,156452,300000,2020
SUR,Tanker,Crude Oil Tanker,336,60,156452,299997,2020
BAHLA,Tanker,Crude Oil Tanker,336,60,156452,299997,2020
DHALKUT,Tanker,Crude Oil Tanker,336,60,156452,299997,2021
SEA EMERALD,Tanker,Crude Oil Tanker,336,60,156452,300636,2019
GUSTAVIA S,Tanker,Crude Oil Tanker,336,60,156452,299995,2020
FRONT EIRA,Tanker,Crude Oil Tanker,336,60,156452,299995,2019
VOLT,Tanker,Crude Oil Tanker,330,58,156417,301438,1999
SEAODYSSEY,Tanker,Oil Products Tanker,250,44,64092,113176,2017
SEAENVOY,Tanker,Oil Products Tanker,250,44,64092,113300,2017
DENIZ SULTAN,Tanker,Oil Products Tanker,244,42,63515,109891,1996
ELLIE LADY,Tanker,Oil Products Tanker,248,40,62491,109999,2009
ZENOVIA LADY,Tanker,Oil Products Tanker,248,44,62491,109999,2009
ASHLEY LADY,Tanker,Oil Products Tanker,248,44,62491,112043,2010
ENCELIA,Tanker,Oil Products Tanker,250,44,62216,109250,2003
GIUSE,Tanker,Oil Products Tanker,245,42,61764,109390,2002
TESLA,Tanker,Oil Products Tanker,245,42,61653,109390,2003
YANG NING HU,Tanker,Oil Products Tanker,245,42,61630,109815,2009
YANG MEI HU,Tanker,Oil Products Tanker,245,42,61630,109855,2010
YANG LI HU,Tanker,Oil Products Tanker,245,42,61630,109892,2010
FOS DA VINCI,Tanker,Oil Products Tanker,250,44,61303,115878,2009
FOS PICASSO,Tanker,Oil Products Tanker,250,44,61303,115760,2009
FOUR WIND,Tanker,Oil Products Tanker,249,44,61241,115727,2009
CORUM,Tanker,Oil Products Tanker,249,44,61241,115708,2010
VAN PHONG 1,Tanker,Oil Products Tanker,248,43,59843,105636,2004
HAIMA,Tanker,Oil Products Tanker,246,42,59705,110077,2009
BRYANSTON,Tanker,Oil Products Tanker,244,42,58722,105784,2005
STELLATA,Tanker,Oil Products Tanker,239,42,57997,109991,2016
SERIANA,Tanker,Oil Products Tanker,235,42,57997,109991,2015
M.T SANMAR SANGEET,Tanker,Oil Products Tanker,241,42,57468,106516,2004
APUS,Tanker,Oil Products Tanker,244,42,57451,106007,2006
ELZA,Tanker,Oil Products Tanker,244,41,57326,105285,2002
MORNING SUN,Tanker,Oil Products Tanker,245,41,57145,98743,1996
BOREY G,Tanker,Oil Products Tanker,244,42,57031,101155,2000
SANMAR SONNET,Tanker,Oil Products Tanker,241,42,56854,99999,1997
MT.SC WARRIOR L,Tanker,Oil Products Tanker,241,42,56854,105426,1997
ADRIATIC SEA,Tanker,Oil Products Tanker,243,38,55790,98660,1992
ELKA ARISTOTLE,Tanker,Oil Products Tanker,229,42,55096,94143,2003
CE-WAVE,Tanker,Oil Products Tanker,242,42,54935,96099,1992
DALE,Tanker,Oil Products Tanker,232,42,53724,94488,1991
ANITA GARIBALDI,Tanker,Oil Products Tanker,228,40,44797,72786,2015
BRIGHT FUTURE,Tanker,Oil Products Tanker,228,36,44622,74999,2019
SUNDA,Tanker,Oil Products Tanker,219,38,44400,79902,2019
KARIMATA,Tanker,Oil Products Tanker,219,38,44400,79885,2019
GEM NO.3,Tanker,Oil Products Tanker,219,38,44389,79920,2017
CIELO ROSSO,Tanker,Oil Products Tanker,228,36,43984,74999,2018
CIELO BIANCO,Tanker,Oil Products Tanker,228,36,43984,74999,2017
CIELO DI CAGLIARI,Tanker,Oil Products Tanker,228,36,43984,74999,2018
CABO SAN VICENTE,Tanker,Oil Products Tanker,228,32,39034,63605,2008
ASHLEY,Tanker,Oil Products Tanker,228,32,38975,68524,2004
ST HIKARI,Tanker,Oil Products Tanker,228,32,38955,63599,2008
HTM DEFENDER,Tanker,Oil Products Tanker,228,32,38924,63495,2008
DALLAS,Tanker,Oil Products Tanker,183,40,36210,65125,2009
STENA POLARIS,Tanker,Oil Products Tanker,183,40,36210,64917,2010
SHAMAL,Tanker,Oil Products Tanker,183,40,36210,64834,2010
FANTA,Tanker,Oil Products Tanker,183,40,36210,65079,2006
PRESIDENT I,Tanker,Oil Products Tanker,183,40,36168,64999,2007
MOSUNMOLA,Tanker,Oil Products Tanker,183,40,36168,65086,2007
SOFIA K,Tanker,Oil Products Tanker,183,40,36106,65125,2005
CHANG HANG SHUI JING,Tanker,Oil Products Tanker,185,32,31534,49969,2008
CHANG HANG ZI JING,Tanker,Oil Products Tanker,185,32,31534,49967,2009
CHANG HANG SHAN HU,Tanker,Oil Products Tanker,185,32,31534,49997,2008
HAFNIA NORDICA,Tanker,Oil Products Tanker,186,32,31510,53520,2010
PALERMO,Tanker,Oil Products Tanker,186,32,31510,53540,2010
STAR MERLIN,Tanker,Oil Products Tanker,186,32,31500,53755,2007
SEVEN PEARLS,Tanker,Oil Products Tanker,186,32,31433,53714,2007
OKEE ULF,Tanker,Oil Products Tanker,186,32,31433,53688,2006
OKEE JOHN T,Tanker,Oil Products Tanker,186,32,31433,53712,2006
JANINE K,Tanker,Oil Products Tanker,180,32,28797,48045,2009
HIGH SD YIHE,Tanker,Oil Products Tanker,180,32,28794,48700,2005
OCEAN SUNRISE,Tanker,Oil Products Tanker,180,32,28794,48711,2006
MAERSK MISSISSIPPI,Tanker,Oil Products Tanker,180,32,28777,47990,2010
ELEGANT VOYAGER,Tanker,Oil Products Tanker,180,32,28777,48006,2009
YOSEMITE TRADER,Tanker,Oil Products Tanker,180,30,28777,47980,2011
MAJESTY,Tanker,Oil Products Tanker,180,32,28777,48056,2009
T MATTERHORN,Tanker,Oil Products Tanker,180,32,28777,47981,2010
IMPERIOUS,Tanker,Oil Products Tanker,180,32,28777,48064,2010
VIRGEN DEL QUINCHE,Tanker,Oil Products Tanker,180,32,28777,48026,2010
ORKIM FORTITUDE,Tanker,Oil Products Tanker,180,32,28777,48005,2010
CEPOLIS,Tanker,Oil Products Tanker,180,32,28777,48020,2011
AKATSUKI MARU,Tanker,Oil Products Tanker,182,32,28747,45955,2011
MONT BLANC I,Tanker,Oil Products Tanker,182,32,28737,45945,2012
INVICTUS,Tanker,Oil Products Tanker,182,32,28736,45953,2012
CALANDRIA,Tanker,Oil Products Tanker,182,32,28736,45950,2012
CHALLENGE PROCYON,Tanker,Oil Products Tanker,182,32,28735,45996,2011
COETIVY,Tanker,Oil Products Tanker,182,32,28725,45994,2010
PETROLIMEX 21,Tanker,Oil Products Tanker,182,32,28725,45942,2010
NYON EXPRESS,Tanker,Oil Products Tanker,182,32,28725,45996,2010
ARROW G,Tanker,Oil Products Tanker,180,32,28059,45975,2003
SENSUS,Tanker,Oil Products Tanker,180,32,28059,45896,2005
GT FREEDOM,Tanker,Oil Products Tanker,180,32,28059,45994,2003
PROMETEI,Tanker,Oil Products Tanker,180,32,28059,45897,2005
MT SAURI,Tanker,Oil Products Tanker,180,32,28059,46013,2003
MINERVA JOY,Tanker,Oil Products Tanker,180,32,28056,45990,2008
MAMBO,Tanker,Oil Products Tanker,180,32,28054,45967,2009
RITA M,Tanker,Oil Products Tanker,180,32,28054,45997,2009
AVANTI,Tanker,Oil Products Tanker,180,32,28054,45965,2009
GANESHA,Tanker,Oil Products Tanker,180,32,28054,45996,2009
PVT AVIRA,Tanker,Oil Products Tanker,180,32,28051,45902,2010
PIS POLARIS,Tanker,Oil Products Tanker,180,32,28051,45988,2010
ANTARES I,Tanker,Oil Products Tanker,180,32,28049,45997,2008
SOPRANO SERENE,Tanker,Oil Products Tanker,180,32,28048,45861,2002
POREWIT,Tanker,Oil Products Tanker,180,32,27994,45718,2004
EASTERN QUINCE,Tanker,Oil Products Tanker,179,32,27987,41397,2009
ZEAL START,Tanker,Oil Products Tanker,179,32,27987,41370,2009
TOPAZ EXPRESS,Tanker,Oil Products Tanker,180,32,27976,45650,2009
DIAMOND EXPRESS,Tanker,Oil Products Tanker,180,32,27976,45634,2009
HARVEST,Tanker,Oil Products Tanker,180,32,27972,45727,2004
BREEZE,Tanker,Oil Products Tanker,55,8,25368,39542,1989
SEAIR QUEEN,Tanker,Oil Products Tanker,182,31,25368,39538,1988
ATACAMA,Tanker,Oil Products Tanker,176,31,25287,40039,2003
SPRIT,Tanker,Oil Products Tanker,176,31,25287,39975,2003
FORTUNE,Tanker,Oil Products Tanker,176,31,25214,35155,2004
PRIMA XP,Tanker,Oil Products Tanker,176,31,25118,40094,2002
HAICHANG TIANJIN,Tanker,Oil Products Tanker,190,28,24252,39768,2000
TOPAZ,Tanker,Oil Products Tanker,189,28,24248,39750,1987
SENIPAH,Tanker,Oil Products Tanker,180,31,24167,29756,2014
SAMBU,Tanker,Oil Products Tanker,180,31,24167,29756,2011
SUNGAI GERONG,Tanker,Oil Products Tanker,180,31,24167,29756,2011
BLUE SKY I,Tanker,Oil Products Tanker,183,27,24112,38402,2006
GONDOLA,Tanker,Oil Products Tanker,190,28,24111,39203,1996
CHRYSOPIGI,Tanker,Oil Products Tanker,183,27,24062,38554,2006
PHOENIX AN,Tanker,Oil Products Tanker,183,27,24048,38512,2005
MERENGUE,Tanker,Oil Products Tanker,183,27,24048,38431,2007
VS LEIA,Tanker,Oil Products Tanker,183,27,24048,38461,2006
BASTOS I,Tanker,Oil Products Tanker,183,27,24048,38472,2005
VS LISBETH,Tanker,Oil Products Tanker,183,27,24048,38492,2006
SHIP TRINITY,Tanker,Oil Products Tanker,183,27,23849,35834,2000
MONARCH NO.1,Tanker,Oil Products Tanker,175,30,19262,36233,1998
ZORRITOS,Tanker,Oil Products Tanker,179,25,18641,28750,1986
BAYOVAR,Tanker,Oil Products Tanker,179,25,18625,28610,1987
NEERA,Tanker,Oil Products Tanker,179,25,18625,28610,1986
DILDAR,Tanker,Oil Products Tanker,179,25,18625,28610,1990
VERES,Tanker,Oil Products Tanker,179,25,18625,28610,1989
ARTEMIS,Tanker,Oil Products Tanker,179,25,18526,28750,1984
EMERALD,Tanker,Oil Products Tanker,179,25,18526,28750,1985
MOS,Tanker,Oil Products Tanker,179,25,18526,28750,1985
AKTI A,Tanker,Oil Products Tanker,178,26,18493,28280,1996
ATLANTIC,Tanker,Oil Products Tanker,167,27,18447,29999,1991
HUAT AH 1,Tanker,Oil Products Tanker,166,27,18334,29998,1987
VICTOR,Tanker,Oil Products Tanker,167,27,18260,29998,1990
LIA,Tanker,Oil Products Tanker,177,26,18253,29998,1985
AL NABILA 5,Tanker,Oil Products Tanker,175,26,18106,29027,1993
BIT,Tanker,Oil Products Tanker,166,28,18083,29996,1988
ENERGY,Tanker,Oil Products Tanker,167,27,18033,29998,1990
S PROGRESS,Tanker,Oil Products Tanker,167,27,18023,29998,1987
CLAUD,Tanker,Oil Products Tanker,177,28,17560,29997,1981
AGIASMA,Tanker,Oil Products Tanker,170,25,17018,29996,1989
ELKA APOLLON,Tanker,Chemical/Oil Products Tanker,244,42,59486,101970,2005
ELKA ATHINA,Tanker,Chemical/Oil Products Tanker,244,42,59486,99990,2004
ELKA VASSILIKI,Tanker,Chemical/Oil Products Tanker,228,42,55096,94143,2004
ORANGE VICTORIA,Tanker,Chemical/Oil Products Tanker,228,38,45642,77430,2019
PEACE VICTORIA,Tanker,Chemical/Oil Products Tanker,228,38,45642,77378,2019
KK MARLIN,Tanker,Chemical/Oil Products Tanker,228,38,45642,77452,2021
HAFNIA PIONEER,Tanker,Chemical/Oil Products Tanker,228,37,45452,81305,2013
TAXIARCHIS,Tanker,Chemical/Oil Products Tanker,229,32,45140,81351,1987
EPICURUS,Tanker,Chemical/Oil Products Tanker,219,38,44389,79945,2017
ARISTARCHOS,Tanker,Chemical/Oil Products Tanker,218,38,44389,79905,2017
NORTHERN BELL,Tanker,Chemical/Oil Products Tanker,228,32,44324,83651,1990
LEONID,Tanker,Chemical/Oil Products Tanker,228,32,44067,74999,2000
BORAY,Tanker,Chemical/Oil Products Tanker,229,32,44067,74999,2000
THERESA ATLANTIC,Tanker,Chemical/Oil Products Tanker,229,32,43733,83970,1987
THERESA ANTARCTIC,Tanker,Chemical/Oil Products Tanker,229,32,43733,83920,1986
MARLIN,Tanker,Chemical/Oil Products Tanker,229,32,43733,83870,1987
THERESA PACIFIC,Tanker,Chemical/Oil Products Tanker,229,32,43697,83930,1986
HAFNIA GUANGZHOU,Tanker,Chemical/Oil Products Tanker,228,38,43693,74999,2019
HAFNIA SHENZHEN,Tanker,Chemical/Oil Products Tanker,228,38,43693,74999,2020
HAFNIA BEIJING,Tanker,Chemical/Oil Products Tanker,228,38,43693,74999,2019
HAFNIA SHANGHAI,Tanker,Chemical/Oil Products Tanker,228,38,43693,74999,2019
HAFNIA HONG KONG,Tanker,Chemical/Oil Products Tanker,228,38,43693,74999,2019
TORM ELIZABETH,Tanker,Chemical/Oil Products Tanker,228,38,43648,74864,2020
TORM ELISE,Tanker,Chemical/Oil Products Tanker,228,38,43648,74924,2020
BLUEFIN,Tanker,Chemical/Oil Products Tanker,229,32,43414,84040,1989
THERESA ARCTIC,Tanker,Chemical/Oil Products Tanker,229,32,43414,84040,1988
SKIPJACK,Tanker,Chemical/Oil Products Tanker,229,32,43406,83962,1988
BONITO,Tanker,Chemical/Oil Products Tanker,229,32,43406,83987,1988
SMOOTH HOUND,Tanker,Chemical/Oil Products Tanker,229,32,43398,84040,1989
TORM INTEGRITY,Tanker,Chemical/Oil Products Tanker,229,32,43053,73811,2013
TORM INNOVATION,Tanker,Chemical/Oil Products Tanker,229,32,43053,73847,2013
PACIFIC JULIA,Tanker,Chemical/Oil Products Tanker,219,38,42968,74324,2017
PACIFIC SARAH,Tanker,Chemical/Oil Products Tanker,219,38,42968,74356,2017
PACIFIC MARTINA,Tanker,Chemical/Oil Products Tanker,219,38,42968,74356,2018
PACIFIC DEBBIE,Tanker,Chemical/Oil Products Tanker,219,38,42968,74356,2017
FLAGSHIP WILLOW,Tanker,Chemical/Oil Products Tanker,229,32,42341,74127,2012
FLAGSHIP SAGE,Tanker,Chemical/Oil Products Tanker,229,32,42341,74158,2011
ARAMON,Tanker,Chemical/Oil Products Tanker,229,32,42264,74059,2010
ATHIRI,Tanker,Chemical/Oil Products Tanker,229,32,42264,73982,2010
ALIGOTE,Tanker,Chemical/Oil Products Tanker,229,32,42264,74192,2010
NAVE SEXTANS,Tanker,Chemical/Oil Products Tanker,183,32,30310,49999,2015
SANDPIPER PACIFIC,Tanker,Chemical/Oil Products Tanker,183,32,30308,51833,2013
TORM AMALIE,Tanker,Chemical/Oil Products Tanker,183,32,30302,49999,2011
TORM AGNETE,Tanker,Chemical/Oil Products Tanker,183,32,30302,49999,2010
TORM ARAWA,Tanker,Chemical/Oil Products Tanker,183,32,30302,49999,2012
TORM AGNES,Tanker,Chemical/Oil Products Tanker,183,32,30302,49999,2011
TORM ALICE,Tanker,Chemical/Oil Products Tanker,183,32,30302,49999,2010
TORM ALMENA,Tanker,Chemical/Oil Products Tanker,183,32,30302,49999,2010
TORM ANABEL,Tanker,Chemical/Oil Products Tanker,183,32,30302,49999,2012
TORM ALEXANRA,Tanker,Chemical/Oil Products Tanker,183,32,30302,49999,2010
TORM ASLAUG,Tanker,Chemical/Oil Products Tanker,183,32,30302,49999,2010
TORM ATLANTIC,Tanker,Chemical/Oil Products Tanker,183,32,30289,49999,2010
ATLANTIC PRIDE,Tanker,Chemical/Oil Products Tanker,183,32,30285,50614,2018
ALTAIR,Tanker,Chemical/Oil Products Tanker,183,32,30285,50583,2017
LA DIGUE,Tanker,Chemical/Oil Products Tanker,183,32,30276,50281,2011
HAFNIA LUPUS,Tanker,Chemical/Oil Products Tanker,183,32,30265,52550,2012
HAFNIA CRUX,Tanker,Chemical/Oil Products Tanker,183,32,30265,52550,2012
GREEN SEA,Tanker,Chemical/Oil Products Tanker,183,32,30264,50927,2014
GREEN PLANET,Tanker,Chemical/Oil Products Tanker,183,32,30264,50844,2014
GREEN SKY,Tanker,Chemical/Oil Products Tanker,183,32,30263,50879,2014
PS VANCOUVER,Tanker,Chemical/Oil Products Tanker,183,32,30119,50922,2007
ORIENTAL GOLD,Tanker,Chemical/Oil Products Tanker,183,32,30110,50591,2008
ORIENTAL DIAMOND,Tanker,Chemical/Oil Products Tanker,183,32,30110,50781,2008
SEAWAYS NIAGARA,Tanker,Chemical/Oil Products Tanker,183,32,30109,51257,2008
RIVIERA,Tanker,Chemical/Oil Products Tanker,183,32,30109,51218,2008
PUMA,Tanker,Chemical/Oil Products Tanker,183,32,30109,51215,2009
SEAWAYS NANTUCKET,Tanker,Chemical/Oil Products Tanker,183,32,30109,51225,2008
ELANDRA SEA,Tanker,Chemical/Oil Products Tanker,183,32,30106,49999,2013
ELANDRA STAR,Tanker,Chemical/Oil Products Tanker,183,32,30106,49999,2013
JAZZ,Tanker,Chemical/Oil Products Tanker,183,32,30105,50548,2006
WORLD PERFORMANCE,Tanker,Chemical/Oil Products Tanker,183,32,30104,51303,2005
NAVE EQUATOR,Tanker,Chemical/Oil Products Tanker,183,32,30100,49999,2009
SIRTAKI,Tanker,Chemical/Oil Products Tanker,183,32,30099,51442,2009
MANTARO I,Tanker,Chemical/Oil Products Tanker,183,32,30099,51393,2008
SAGA,Tanker,Chemical/Oil Products Tanker,183,32,30095,51319,2004
HATAY,Tanker,Chemical/Oil Products Tanker,183,32,30094,51218,2006
BREEZE,Tanker,Chemical/Oil Products Tanker,183,32,30093,45780,2004
